Flow Rate,High,,,Flow Rate,Low,
Run,Volume,Time,,Run,Volume,Time
1,281,2.59,,1,191,6.84
2,323,3.19,,2,202,7.26
3,288,2.72,,3,185,6.52
4,280,2.75,,4,201,7.2
5,317,3.08,,5,200,7.16
6,318,3.08,,6,195,6.87
7,272,2.63,,7,205,7.3
8,278,2.69,,8,183,6.53
9,317,3.06,,9,197,6.98
10,285,2.77,,10,198,7.06
11,316,2.98,,11,199,7.17
12,300,2.96,,12,196,6.87
13,336,3.16,,13,204,7.27
14,314,3.11,,14,211,7.54
15,343,3.41,,15,204,7.24
16,276,2.71,,16,206,7.42
17,331,3.2,,17,203,7.25
18,308,2.99,,18,206,7.24
19,289,2.83,,19,196,6.91
20,307,2.99,,20,204,7.29
21,300,2.81,,21,196,7.01
22,280,2.72,,22,204,7.34
23,273,2.73,,23,198,7.04
24,313,3.1,,24,200,7.06
25,350,3.36,,25,200,7.67
26,303,2.99,,26,202,7.14
27,298,2.92,,27,198,7.02
28,302,2.95,,28,203,7.24
29,333,3.2,,29,205,7.32
30,296,2.86,,30,202,7.15
31,288,2.86,,31,194,6.93
32,316,3.09,,32,188,6.67
33,279,2.68,,33,198,6.97
34,251,2.52,,34,208,7.16
35,300,2.84,,35,194,6.85
36,284,2.71,,36,198,7.05
37,323,3.18,,37,203,7.03
38,316,3.1,,38,196,7.01
39,232,2.27,,39,192,6.77
40,280,2.73,,40,203,7.18
