time,h,m,s,ds,t,pctO2,mgas,MW
08:12:36 AM,8,12,36,0,0,0.157,6853.8,14.7
08:12:52 AM,8,12,52,16,16,0.157,6861.5,14.6
08:17:56 AM,8,17,56,304,320,0.157,6861.5,14.7
08:18:05 AM,8,18,5,9,329,0.157,6819.2,14.6
08:22:47 AM,8,22,47,282,611,0.157,6815.4,14.7
08:23:25 AM,8,23,25,38,649,0.157,6857.7,14.7
08:28:46 AM,8,28,46,321,970,0.157,6884.6,14.8
08:33:28 AM,8,33,28,282,1252,0.157,6973,14.7
08:33:39 AM,8,33,39,11,1263,0.157,6873.1,14.7
08:38:53 AM,8,38,53,314,1577,0.157,6896.2,14.8
08:39:07 AM,8,39,7,14,1591,0.157,6788.5,14.8
08:43:46 AM,8,43,46,279,1870,0.158,6826.9,14.6
08:43:52 AM,8,43,52,6,1876,0.158,6776.9,14.6
08:48:26 AM,8,48,26,274,2150,0.157,6900,14.4
08:48:34 AM,8,48,34,8,2158,0.157,6915.4,14.4
08:53:40 AM,8,53,40,306,2464,0.157,6876.9,14.8
08:58:50 AM,8,58,50,310,2774,0.157,6942.3,14.7
08:58:56 AM,8,58,56,6,2780,0.157,6900,14.8
